timestamp,value,__name__,cpu,instance,job
18:56:02.166,3646999000.000000,node_cpu_scaling_frequency_hertz,3,192.168.2.128:9100,node exporter
18:56:02.166,3582593000.000000,node_cpu_scaling_frequency_hertz,4,192.168.2.128:9100,node exporter
18:56:02.166,3523561000.000000,node_cpu_scaling_frequency_hertz,5,192.168.2.128:9100,node exporter
18:56:02.166,3540032000.000000,node_cpu_scaling_frequency_hertz,6,192.168.2.128:9100,node exporter
18:56:02.166,3603204000.000000,node_cpu_scaling_frequency_hertz,7,192.168.2.128:9100,node exporter
18:56:02.166,3625198000.000000,node_cpu_scaling_frequency_hertz,8,192.168.2.128:9100,node exporter
18:56:02.166,3666812000.000000,node_cpu_scaling_frequency_hertz,9,192.168.2.128:9100,node exporter
18:56:03.262,3738992000.000000,node_cpu_scaling_frequency_hertz,0,192.168.2.128:9100,node exporter
18:56:03.262,3461554000.000000,node_cpu_scaling_frequency_hertz,1,192.168.2.128:9100,node exporter
18:56:03.262,3508504000.000000,node_cpu_scaling_frequency_hertz,10,192.168.2.128:9100,node exporter
18:56:03.262,3486670000.000000,node_cpu_scaling_frequency_hertz,11,192.168.2.128:9100,node exporter
18:56:03.262,3519369000.000000,node_cpu_scaling_frequency_hertz,2,192.168.2.128:9100,node exporter
18:56:03.262,3534756000.000000,node_cpu_scaling_frequency_hertz,3,192.168.2.128:9100,node exporter
18:56:03.262,3476272000.000000,node_cpu_scaling_frequency_hertz,4,192.168.2.128:9100,node exporter
18:56:03.262,3505240000.000000,node_cpu_scaling_frequency_hertz,5,192.168.2.128:9100,node exporter
18:56:03.262,3741396000.000000,node_cpu_scaling_frequency_hertz,6,192.168.2.128:9100,node exporter
18:56:03.262,3450361000.000000,node_cpu_scaling_frequency_hertz,7,192.168.2.128:9100,node exporter
18:56:03.262,3779079000.000000,node_cpu_scaling_frequency_hertz,8,192.168.2.128:9100,node exporter
18:56:03.262,3511141000.000000,node_cpu_scaling_frequency_hertz,9,192.168.2.128:9100,node exporter
18:56:04.338,3784819000.000000,node_cpu_scaling_frequency_hertz,0,192.168.2.128:9100,node exporter
18:56:04.338,3695496000.000000,node_cpu_scaling_frequency_hertz,1,192.168.2.128:9100,node exporter
18:56:04.338,3682625000.000000,node_cpu_scaling_frequency_hertz,10,192.168.2.128:9100,node exporter
18:56:04.338,3718880000.000000,node_cpu_scaling_frequency_hertz,11,192.168.2.128:9100,node exporter
18:56:04.338,3634739000.000000,node_cpu_scaling_frequency_hertz,2,192.168.2.128:9100,node exporter
18:56:04.338,3741919000.000000,node_cpu_scaling_frequency_hertz,3,192.168.2.128:9100,node exporter
18:56:04.338,3730238000.000000,node_cpu_scaling_frequency_hertz,4,192.168.2.128:9100,node exporter
18:56:04.338,3747779000.000000,node_cpu_scaling_frequency_hertz,5,192.168.2.128:9100,node exporter
18:56:04.338,3781697000.000000,node_cpu_scaling_frequency_hertz,6,192.168.2.128:9100,node exporter
18:56:04.338,3756466000.000000,node_cpu_scaling_frequency_hertz,7,192.168.2.128:9100,node exporter
18:56:04.338,3781566000.000000,node_cpu_scaling_frequency_hertz,8,192.168.2.128:9100,node exporter
18:56:04.338,3706344000.000000,node_cpu_scaling_frequency_hertz,9,192.168.2.128:9100,node exporter
18:56:05.410,3739316000.000000,node_cpu_scaling_frequency_hertz,0,192.168.2.128:9100,node exporter
18:56:05.410,3653663000.000000,node_cpu_scaling_frequency_hertz,1,192.168.2.128:9100,node exporter
18:56:05.410,3595116000.000000,node_cpu_scaling_frequency_hertz,10,192.168.2.128:9100,node exporter
18:56:05.410,3657059000.000000,node_cpu_scaling_frequency_hertz,11,192.168.2.128:9100,node exporter
18:56:05.410,3765373000.000000,node_cpu_scaling_frequency_hertz,2,192.168.2.128:9100,node exporter
18:56:05.410,3645611000.000000,node_cpu_scaling_frequency_hertz,3,192.168.2.128:9100,node exporter
18:56:05.410,3613984000.000000,node_cpu_scaling_frequency_hertz,4,192.168.2.128:9100,node exporter
18:56:05.410,3660275000.000000,node_cpu_scaling_frequency_hertz,5,192.168.2.128:9100,node exporter
18:56:05.410,3735161000.000000,node_cpu_scaling_frequency_hertz,6,192.168.2.128:9100,node exporter
