Name,PID,ContainerID,WorkDir
nxf-sEbuVt1BSLZFOm7OqkX2UlBl,995027,737bc1ffdeb93cd4a828b72712a09c85f553e39e7f48b432609607ad6bb4daf8,/storage/nf-core/exec/work/37/909b07d1e30b992c593f7d01770296
nxf-GoFPdx4fiEGVMLT4hUx0R2NV,0,f8a76da3fedeb2e621c827240987d3961faf62d4e457b02a3f033ad469e7b331,/storage/nf-core/exec/work/f7/809e6cc6400dc9493d5f47b14b5065
nxf-doIiU0VtTnDqUrmBMBNFZq1b,0,bd8f10a4fd16ee375e99f617d00697c8dc9796df895ba5d421f37f0e268aee2d,/storage/nf-core/exec/work/37/795a67d329d3b5713a136740aed3b8
nxf-0lf2oYgEbHDPP9F6X6tnkUIA,994890,cfc39afc2dd4f801a8dc2576a335ece0a9db9ab3d91c6d365fd9af3dab310fb4,/storage/nf-core/exec/work/4f/b38a5b1acdfa0bd4fdba0f7bf4620f
nxf-yBHtjuAjcab6FPEYorHAUKcS,996718,2564869f89211ad104b4b4db6d9d920c0bde58004082271abbe461ab22389d85,/storage/nf-core/exec/work/80/bb1f6d7d4cebde3b8746c73fd356ce
nxf-pWv56sanYbcd9czRD7aTCV3e,0,5253427ee7b7f7b1a6c81489b80f024f4ad3fdc498ae93203f6f21c1611ed566,/storage/nf-core/exec/work/41/2d4651fa89957206cbdc4b69518938
nxf-MG4iayQrrOPbQzztDVPbm3F7,996552,f6b1a40c59c968fa3a79a9492b345650b1a3dfdd60791b43e48ca4f732d73fe8,/storage/nf-core/exec/work/9d/b0cca66675e88d41c19429777fb221
nxf-gVwROxXKN8EjmkgXd06a7hqf,0,ae254afdaf9bfd4b9a0f7dc21b073960da4f2a3ba44cb63b7af21c7eba68232e,/storage/nf-core/exec/work/24/372d87affcbf9bdef1791e527911e4
nxf-X8Ki4qhjmX4AR56LtSCYzEQq,0,f190b15075f9b0f1bf618bcdce7a0bdca6573031a49cac5dc4c727e8568d1c93,/storage/nf-core/exec/work/37/78ba0acf4a3a6c512a4460486e4bd1
nxf-v8R0tXsoDJyPdkIDOrW6oBzy,0,abb59ddc04b94af8ea1782a65533eeff3a8e163d291e410d0cbd1dedebee35f9,/storage/nf-core/exec/work/14/b2c0e4f2167367e094df88aa90ef1d
nxf-0i3IdDjJTBRCtMIbM90LhfMD,998809,11407c8ca3a77eaf06b20b241988b5037536ac5d1fffdc8bd695f6d45dbad460,/storage/nf-core/exec/work/c6/2747f0d602ecf394c3d3dbfeac8502
nxf-VMaeXZ74KDMmyi0JqAA7qBkD,0,9ebc1d91ee7b3c5becb25d030b5f110d172d7b11b13235d8e6ac74d8c7ba8987,/storage/nf-core/exec/work/9d/fa07287cb860b9248854b0b2affa5d
