timestamp,value,__name__,instance,job,name,type
18:56:06.605,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,10,Processor
18:56:06.605,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,11,Processor
18:56:06.605,50.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,12,intel_powerclamp
18:56:06.605,63.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,13,TCC Offset
18:56:06.605,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,2,Processor
18:56:06.605,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,3,Processor
18:56:06.605,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,4,Processor
18:56:06.605,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,5,Processor
18:56:06.605,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,6,Processor
18:56:06.605,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,7,Processor
18:56:06.605,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,8,Processor
18:56:06.605,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,9,Processor
18:56:07.676,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,0,Processor
18:56:07.676,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,1,Processor
18:56:07.676,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,10,Processor
18:56:07.676,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,11,Processor
18:56:07.676,50.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,12,intel_powerclamp
18:56:07.676,63.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,13,TCC Offset
18:56:07.676,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,2,Processor
18:56:07.676,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,3,Processor
18:56:07.676,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,4,Processor
18:56:07.676,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,5,Processor
18:56:07.676,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,6,Processor
18:56:07.676,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,7,Processor
18:56:07.676,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,8,Processor
18:56:07.676,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,9,Processor
18:56:08.743,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,0,Processor
18:56:08.743,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,1,Processor
18:56:08.743,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,10,Processor
18:56:08.743,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,11,Processor
18:56:08.743,50.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,12,intel_powerclamp
18:56:08.743,63.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,13,TCC Offset
18:56:08.743,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,2,Processor
18:56:08.743,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,3,Processor
18:56:08.743,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,4,Processor
18:56:08.743,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,5,Processor
18:56:08.743,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,6,Processor
18:56:08.743,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,7,Processor
18:56:08.743,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,8,Processor
18:56:08.743,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,9,Processor
18:56:09.818,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,0,Processor
18:56:09.818,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,1,Processor
18:56:09.818,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,10,Processor
18:56:09.818,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,11,Processor
18:56:09.818,50.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,12,intel_powerclamp
18:56:09.818,63.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,13,TCC Offset
18:56:09.818,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,2,Processor
18:56:09.818,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,3,Processor
18:56:09.818,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,4,Processor
18:56:09.818,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,5,Processor
18:56:09.818,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,6,Processor
18:56:09.818,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,7,Processor
18:56:09.818,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,8,Processor
18:56:09.818,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,9,Processor
18:56:10.890,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,0,Processor
18:56:10.890,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,1,Processor
18:56:10.890,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,10,Processor
18:56:10.890,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,11,Processor
18:56:10.890,50.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,12,intel_powerclamp
18:56:10.890,63.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,13,TCC Offset
18:56:10.890,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,2,Processor
18:56:10.890,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,3,Processor
18:56:10.890,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,4,Processor
18:56:10.890,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,5,Processor
18:56:10.890,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,6,Processor
18:56:10.890,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,7,Processor
18:56:10.890,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,8,Processor
18:56:10.890,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,9,Processor
18:56:11.965,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,0,Processor
18:56:11.965,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,1,Processor
18:56:11.965,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,10,Processor
18:56:11.965,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,11,Processor
18:56:11.965,50.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,12,intel_powerclamp
18:56:11.965,63.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,13,TCC Offset
18:56:11.965,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,2,Processor
18:56:11.965,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,3,Processor
18:56:11.965,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,4,Processor
18:56:11.965,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,5,Processor
18:56:11.965,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,6,Processor
18:56:11.965,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,7,Processor
18:56:11.965,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,8,Processor
18:56:11.965,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,9,Processor
18:56:13.049,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,0,Processor
18:56:13.049,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,1,Processor
18:56:13.049,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,10,Processor
18:56:13.049,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,11,Processor
18:56:13.049,50.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,12,intel_powerclamp
18:56:13.049,63.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,13,TCC Offset
18:56:13.049,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,2,Processor
18:56:13.049,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,3,Processor
18:56:13.049,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,4,Processor
18:56:13.049,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,5,Processor
18:56:13.049,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,6,Processor
18:56:13.049,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,7,Processor
18:56:13.049,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,8,Processor
18:56:13.049,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,9,Processor
18:56:14.273,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,0,Processor
18:56:14.273,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,1,Processor
18:56:14.273,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,10,Processor
18:56:14.273,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,11,Processor
18:56:14.273,50.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,12,intel_powerclamp
18:56:14.273,63.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,13,TCC Offset
18:56:14.273,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,2,Processor
18:56:14.273,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,3,Processor
18:56:14.273,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,4,Processor
18:56:14.273,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,5,Processor
18:56:14.273,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,6,Processor
18:56:14.273,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,7,Processor
18:56:14.273,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,8,Processor
18:56:14.273,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,9,Processor
18:56:15.359,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,0,Processor
18:56:15.359,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,1,Processor
18:56:15.359,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,10,Processor
18:56:15.359,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,11,Processor
18:56:15.359,50.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,12,intel_powerclamp
18:56:15.359,63.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,13,TCC Offset
18:56:15.359,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,2,Processor
18:56:15.359,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,3,Processor
18:56:15.359,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,4,Processor
18:56:15.359,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,5,Processor
18:56:15.359,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,6,Processor
18:56:15.359,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,7,Processor
18:56:15.359,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,8,Processor
18:56:15.359,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,9,Processor
18:56:16.439,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,0,Processor
18:56:16.439,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,1,Processor
18:56:16.439,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,10,Processor
18:56:16.439,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,11,Processor
18:56:16.439,50.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,12,intel_powerclamp
18:56:16.439,63.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,13,TCC Offset
18:56:16.439,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,2,Processor
18:56:16.439,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,3,Processor
18:56:16.439,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,4,Processor
18:56:16.439,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,5,Processor
18:56:16.439,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,6,Processor
18:56:16.439,7.000000,node_cooling_device_max_state,192.168.2.128:9100,node exporter,7,Processor
